,제목,언론사,내용,작성일,링크
0,데이터 중심 시대: 빅데이터 분석의 비즈니스 혁신 사례 | 인사이트리포트 | 삼성SDS,Samsung SDS,"이 아티클에서는 AI 시대에 데이터가 가지고 있는 힘과 비즈니스적 가치, 새로운 사업에 대한 혁신 방안을 전망합니다.",10시간 전,https://www.samsungsds.com/kr/insights/data-driven-era-big-data-analytics.html
1,"포스코, 오라클 자율운영 DB 도입…데이터 분석 속도 2.4배 향상",디지털데일리,[디지털데일리 이안나기자] 포스코가 전사 데이터 관리 체계를 혁신하기 위해 오라클 자율운영 데이터베이스(ADB)를 도입했다고 31일 발표했다.,15시간 전,https://www.ddaily.co.kr/page/view/2025073110264452259
2,"벼룩시장, 2025년 상반기 이력서 데이터 분석 결과 발표",뉴스와이어,"생활밀착형 일자리를 찾는 중장년 구직자가 증가하고 있는 것으로 나타났다. 조기 퇴직, 2차 베이비붐 세대의 퇴직이 가속화되면서 중장년층의 재취업...",18시간 전,https://www.newswire.co.kr/newsRead.php?no=1015867
3,"오라클, 포스코에 'ADW' 공급…""DB 분석 2.4배 빨라""",지디넷코리아,오라클이 자율운영 데이터베이스 서비스로 포스코의 데이터 분석 효율과 글로벌 제조 환경을 강화한다. 오라클은 포스코가 '오라클 자율운영 데이터...,10시간 전,https://zdnet.co.kr/view/?no=20250731145512
4,"성동구, 빅데이터 분석·활용해 도시 문제 해결할 준전문가 모집",성동저널,성동저널 김재태 기자 = 성동구(구청장 정원오)는 빅데이터를 활용해 도시 문제를 해결하고 정책 혁신을 이끌기 위한 '2025년 빅데이터 분석·활용...,2일 전,https://www.seongdongnews.com/news/articleView.html?idxno=32579
5,"구글 딥마인드, 지구 관측 AI 알파어스 공개…위성 데이터 분석 혁신",이코노믹데일리,[이코노믹데일리]구글의 인공지능(AI) 조직 딥마인드가 지구의 모든 변화를 실시간으로 추적하고 분석하는 새로운 AI 모델을 선보였다.,16시간 전,https://www.economidaily.com/view/20250731090023123
6,"라면 브랜드평판 7월 빅데이터 분석···1위 신라면, 2위 불닭볶음면, 3위 짜파게티",여성소비자신문,"여성소비자신문 모바일 사이트, 기사 상세페이지, [여성소비자신문 이명진 기자] 라면 브랜드평판 7월 빅데이터 분석결과 1위 신라면, 2위 불닭볶음면...",16시간 전,http://www.wsobi.com/news/articleView.html?idxno=285392
7,"줄리어스 AI, 천만 달러 시드 투자유치…”말하면 데이터 분석과 차트 제작”",와우테일,AI 데이터 분석 전문 스타트업 줄리어스 AI(Julius AI)가 베서머 벤처 파트너스(Bessemer Venture Partners) 주도로 1천만 달러 규모의 시드 투자를...,2일 전,https://wowtale.net/2025/07/30/244693/
8,"포스코, 오라클 자율운영 데이터 웨어하우스 구축",디지털경제뉴스,"[디지털경제뉴스 박시현 기자] 오라클은 포스코가 전사 데이터 관리 간소화, 인사이트 확보 및 운영 비용 절감을 위해 오라클 자율운영...",7시간 전,http://www.denews.co.kr/news/articleView.html?idxno=33285
9,"새만금개발청, 데이터 분석·활용 우수 사례 10건 선정",뉴스1,(군산=뉴스1) 유승훈 기자 = 새만금개발청은 최근 개최된 '데이터 분석·활용 공모전' 통해 총 10건의 우수 사례를 선정했다고 29일 밝혔다.,2일 전,https://www.news1.kr/local/jeonbuk/5862400
